tree_id,trunk_diam,status,health,spc_common,neighborhood
682992,16,Alive,Good,Norway maple,East Flushing
423470,27,Alive,Good,London planetree,Elmhurst-Maspeth
320625,19,Alive,Poor,silver maple,SI54
352079,0,Stump,,,Charleston-Richmond Valley-Tottenville
53217,20,Alive,Fair,sweetgum,Mariner's Harbor-Arlington-Port Ivory-Graniteville
277272,2,Alive,Poor,dawn redwood,Battery Park City-Lower Manhattan
434821,7,Alive,Good,Callery pear,Grasmere-Arrochar-Ft. Wadsworth
540619,28,Alive,Good,pin oak,Baisley Park
699975,10,Alive,Good,Norway maple,Murray Hill
569631,4,Alive,Good,sawtooth oak,Crown Heights North
362980,13,Alive,Good,sweetgum,Rossville-Woodrow
557745,6,Alive,Good,pin oak,Spuyten Duyvil-Kingsbridge
341809,0,Stump,,,Breezy Point-Belle Harbor-Rockaway Park-Broad Chan
527252,9,Alive,Good,Callery pear,Annadale-Huguenot-Prince's Bay-Eltingville
531368,15,Alive,Good,London planetree,Arden Heights
260026,7,Alive,Good,Sophora,18
503502,19,Alive,Good,London planetree,Soundview-Castle Hill-Clason Point-Harding Park
324799,19,Alive,Good,London planetree,Schuylerville-Throgs Neck-Edgewater Park
349953,5,Alive,Good,'Schubert' chokecherry,Georgetown-Marine Park-Bergen Beach-Mill Basin
495537,19,Alive,Good,pin oak,West Village
432549,4,Alive,Good,ginkgo,East New York
114778,27,Alive,Good,London planetree,Flushing
444684,19,Alive,Good,London planetree,Old Town-Dongan Hills-South Beach
196566,17,Alive,Fair,Norway maple,Kew Gardens
357079,14,Alive,Good,Japanese zelkova,Port Richmond
563601,13,Alive,Fair,honeylocust,Stuyvesant Heights
443675,8,Alive,Good,Sophora,Far Rockaway-Bayswater
581978,11,Alive,Good,mulberry,St. Albans
307881,6,Alive,Good,pin oak,Flatbush
358380,8,Alive,Good,sawtooth oak,Norwood
106470,18,Alive,Good,American elm,Ridgewood
235030,5,Alive,Good,cherry,Kensington-Ocean Parkway
106307,7,Alive,Good,silver linden,Crown Heights South
346027,5,Alive,Good,sugar maple,Charleston-Richmond Valley-Tottenville
412086,10,Alive,Good,maple,Steinway
207485,3,Alive,Good,eastern redbud,Oakland Gardens
222532,10,Alive,Good,American elm,Oakwood-Oakwood Beach
349812,14,Alive,Good,Japanese zelkova,Middle Village
681562,10,Alive,Good,maple,Flatlands
259030,9,Alive,Good,American linden,Bay Ridge
356130,0,Stump,,,Bronxdale
91145,9,Alive,Fair,Norway maple,QN20
139986,3,Alive,Fair,Oklahoma redbud,BK33
364737,12,Alive,Good,hedge maple,Madison
507391,8,Alive,Fair,Siberian elm,Van Nest-Morris Park-Westchester Square
432533,11,Alive,Good,London planetree,Hudson Yards-Chelsea-Flatiron-Union Square
677326,23,Alive,Good,London planetree,Middle Village
83854,4,Alive,Good,London planetree,Chinatown
598094,0,Stump,,,Sunset Park East
505986,6,Alive,Good,cherry,Soundview-Bruckner
340073,9,Alive,Fair,red maple,Eastchester-Edenwald-Baychester
112585,39,Alive,Good,pin oak,Bayside-Bayside Hills
475218,0,Stump,,,Carroll Gardens-Columbia Street-Red Hook
584696,31,Alive,Good,silver maple,QN08
379680,2,Dead,,,Pelham Bay-Country Club-City Island
574909,11,Alive,Good,American linden,St. Albans
621884,23,Alive,Good,London planetree,Dyker Heights
195208,14,Alive,Fair,pin oak,Great Kills
283702,22,Alive,Good,sweetgum,Glen Oaks-Floral Park-New Hyde Park
327291,33,Alive,Good,London planetree,Dyker Heights
113792,20,Alive,Fair,pin oak,QN22
217201,14,Alive,Good,London planetree,Murray Hill-Kips Bay
89395,16,Alive,Good,pin oak,Ridgewood
276619,21,Alive,Good,sweetgum,Glen Oaks-Floral Park-New Hyde Park
408943,6,Alive,Good,Callery pear,Annadale-Huguenot-Prince's Bay-Eltingville
383398,7,Alive,Fair,crimson king maple,Annadale-Huguenot-Prince's Bay-Eltingville
500188,4,Alive,Good,Callery pear,Annadale-Huguenot-Prince's Bay-Eltingville
215660,25,Alive,Good,tree of heaven,33
416133,33,Alive,Good,London planetree,Cypress Hills-City Line
230512,19,Alive,Good,littleleaf linden,QN43
51341,15,Alive,Good,Japanese zelkova,Pomonok-Flushing Heights-Hillcrest
291379,3,Alive,Good,cherry,Washington Heights South
226040,26,Alive,Good,maple,10
644549,39,Alive,Good,London planetree,Richmond Hill
267795,11,Alive,Good,pin oak,BK69
13547,16,Alive,Fair,London planetree,Ocean Hill
205659,12,Alive,Good,ginkgo,Steinway
254746,16,Alive,Good,green ash,BX52
157688,17,Alive,Good,green ash,South Ozone Park
477693,2,Alive,Good,purple-leaf plum,Great Kills
220060,4,Alive,Good,honeylocust,North Corona
714481,44,Alive,Good,silver maple,Ozone Park
687923,7,Alive,Good,London planetree,Rugby-Remsen Village
356665,3,Dead,,,University Heights-Morris Heights
332304,10,Alive,Good,Callery pear,New Springville-Bloomfield-Travis
353873,2,Alive,Good,blackgum,University Heights-Morris Heights
693307,13,Alive,Good,honeylocust,QN01
350827,8,Alive,Good,Callery pear,Annadale-Huguenot-Prince's Bay-Eltingville
689013,25,Alive,Good,London planetree,21
650624,20,Alive,Good,London planetree,Borough Park
553939,0,Stump,,,Bensonhurst West
477860,14,Alive,Good,London planetree,Breezy Point-Belle Harbor-Rockaway Park-Broad Chan
56132,2,Alive,Good,empress tree,East New York
372702,15,Alive,Good,Sophora,Clinton Hill
641223,19,Alive,Good,Japanese zelkova,South Ozone Park
350850,6,Alive,Good,honeylocust,West Farms-Bronx River
715138,29,Alive,Good,London planetree,Woodhaven
664788,4,Alive,Good,cherry,QN54
385802,24,Alive,Poor,maple,32
19496,11,Alive,Good,Chinese elm,West Concourse
605080,2,Alive,Good,European hornbeam,St. Albans
578733,6,Alive,Good,silver maple,New Springville-Bloomfield-Travis
223548,8,Alive,Good,Callery pear,Van Cortlandt Village
227101,14,Alive,Good,honeylocust,Bellerose
266323,17,Alive,Good,London planetree,Central Harlem North-Polo Grounds
4344,3,Alive,Good,purple-leaf plum,Pomonok-Flushing Heights-Hillcrest
670926,7,Alive,Good,honeylocust,Bushwick South
125816,17,Alive,Fair,Norway maple,BK50
562359,9,Alive,Good,purple-leaf plum,Whitestone
421609,16,Alive,Good,northern red oak,Seagate-Coney Island
260246,2,Alive,Fair,Japanese zelkova,Prospect Heights
698707,7,Alive,Poor,maple,Whitestone
297810,13,Alive,Good,Callery pear,Midwood
134249,3,Alive,Good,'Schubert' chokecherry,North Side-South Side
10050,10,Alive,Good,honeylocust,Ft. Totten-Bay Terrace-Clearview
659868,30,Alive,Fair,London planetree,Murray Hill
27199,5,Alive,Good,honeylocust,27
548963,25,Alive,Good,Norway maple,Grymes Hill-Clifton-Fox Hills
581707,7,Alive,Good,littleleaf linden,BK26
353391,2,Alive,Good,eastern hemlock,Westerleigh
409220,4,Alive,Poor,pin oak,Flushing
656750,7,Alive,Good,silver linden,Murray Hill
460372,6,Alive,Good,swamp white oak,Mott Haven-Port Morris
248589,3,Alive,Fair,honeylocust,Bellerose
172788,8,Alive,Good,American linden,Flatbush
507424,9,Alive,Good,littleleaf linden,Soundview-Bruckner
411370,18,Alive,Good,London planetree,Rosedale
199640,5,Alive,Fair,cherry,Midwood
30997,0,Stump,,,Norwood
569044,19,Alive,Fair,honeylocust,South Ozone Park
250642,23,Alive,Fair,black cherry,QN15
482046,4,Alive,Good,river birch,Whitestone
595367,15,Alive,Good,sweetgum,Annadale-Huguenot-Prince's Bay-Eltingville
464151,13,Alive,Good,Siberian elm,Far Rockaway-Bayswater
432814,15,Alive,Good,London planetree,East Elmhurst
211309,6,Alive,Good,black oak,Clinton Hill
325431,6,Alive,Good,Callery pear,Bayside-Bayside Hills
105261,3,Alive,Fair,Japanese tree lilac,East New York (Pennsylvania Ave)
665503,21,Alive,Good,Norway maple,St. Albans
266040,31,Alive,Good,London planetree,Bay Ridge
467725,16,Alive,Good,Japanese zelkova,Bedford Park-Fordham North
558119,2,Alive,Good,Japanese zelkova,Baisley Park
160124,6,Alive,Good,crimson king maple,Old Town-Dongan Hills-South Beach
542006,29,Alive,Good,pin oak,Baisley Park
125501,21,Alive,Good,pin oak,East Harlem North
660739,20,Alive,Good,Norway maple,Jamaica Estates-Holliswood
678130,4,Alive,Good,European hornbeam,Glendale
509210,11,Alive,Good,pin oak,Charleston-Richmond Valley-Tottenville
601963,17,Alive,Fair,London planetree,QN57
117387,6,Alive,Fair,sugar maple,Queens Village
550303,13,Alive,Good,Callery pear,84
288713,43,Alive,Good,London planetree,Old Astoria
316583,4,Dead,,,Washington Heights South
543998,13,Dead,,,Breezy Point-Belle Harbor-Rockaway Park-Broad Chan
406839,12,Alive,Fair,hedge maple,Bensonhurst West
375271,3,Alive,Good,white ash,Far Rockaway-Bayswater
40765,10,Alive,Good,honeylocust,East Harlem South
713540,13,Dead,,,Starrett City
188927,26,Alive,Good,London planetree,21
546192,5,Alive,Good,littleleaf linden,Borough Park
411901,13,Alive,Good,honeylocust,Rosedale
245728,36,Alive,Good,London planetree,QN43
172671,20,Alive,Fair,London planetree,QN15
718249,23,Alive,Good,silver maple,South Jamaica
345313,2,Dead,,,Lindenwood-Howard Beach
267388,2,Alive,Good,sweetgum,New Dorp-Midland Beach
288167,9,Alive,Good,red maple,Pelham Bay-Country Club-City Island
656553,24,Alive,Good,Norway maple,Murray Hill
27678,14,Alive,Good,London planetree,Rego Park
407160,1,Dead,,,Prospect Lefferts Gardens-Wingate
307625,14,Alive,Fair,silver linden,Norwood
210488,9,Alive,Good,honeylocust,Claremont-Bathgate
28037,0,Stump,,,Gramercy
369774,25,Alive,Good,London planetree,Dyker Heights
285204,4,Alive,Good,honeylocust,Pelham Parkway
280024,5,Alive,Good,Japanese zelkova,Park Slope-Gowanus
522595,14,Alive,Good,Norway maple,Elmhurst-Maspeth
7089,3,Alive,Good,ginkgo,Park Slope-Gowanus
524996,9,Alive,Good,Norway maple,Elmhurst
256064,20,Alive,Good,pin oak,BK31
234373,23,Alive,Good,London planetree,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
607708,33,Alive,Good,London planetree,Cambria Heights
611051,4,Alive,Poor,northern red oak,Springfield Gardens North
710441,3,Alive,Fair,purple-leaf plum,Bath Beach
486810,16,Alive,Good,Norway maple,Astoria
686746,7,Alive,Good,cherry,Briarwood-Jamaica Hills
