tree_id,trunk_diam,status,health,spc_common,neighborhood,tree_diam_category
271875,4,Alive,Good,bur oak,University Heights-Morris Heights,Medium-Large (10-18in)
365508,8,Alive,Good,Callery pear,Annadale-Huguenot-Prince's Bay-Eltingville,Medium-Large (10-18in)
363412,8,Alive,Good,London planetree,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Medium-Large (10-18in)
563397,20,Alive,Good,London planetree,Bensonhurst West,Very large (>24in)
178899,4,Alive,Good,honeylocust,Lower East Side,Medium-Large (10-18in)
371499,10,Alive,Good,Callery pear,Elmhurst,Medium-Large (10-18in)
600915,35,Alive,Good,pin oak,QN48,
267875,6,Alive,Fair,pin oak,Glen Oaks-Floral Park-New Hyde Park,Medium-Large (10-18in)
12533,4,Alive,Good,ginkgo,Williamsbridge-Olinville,Medium-Large (10-18in)
420059,4,Alive,Good,hawthorn,East New York,Medium-Large (10-18in)
680417,2,Alive,Fair,American linden,Stuyvesant Heights,Medium (3-10in)
173523,11,Alive,Good,pin oak,West Village,Large (18-24in)
653877,34,Alive,Good,pin oak,Kew Gardens Hills,
28402,2,Alive,Poor,silver linden,Washington Heights South,Medium (3-10in)
714593,20,Alive,Fair,London planetree,Ft. Totten-Bay Terrace-Clearview,Very large (>24in)
238127,4,Alive,Good,tree of heaven,Washington Heights South,Medium-Large (10-18in)
457360,3,Alive,Good,littleleaf linden,Erasmus,Medium (3-10in)
413394,20,Alive,Good,Sophora,Midwood,Very large (>24in)
248615,5,Alive,Good,honeylocust,Bellerose,Medium-Large (10-18in)
593495,6,Alive,Good,ginkgo,QN54,Medium-Large (10-18in)
226384,2,Alive,Good,red maple,Midwood,Medium (3-10in)
374081,8,Alive,Good,cherry,Norwood,Medium-Large (10-18in)
636611,7,Dead,,,South Ozone Park,Medium-Large (10-18in)
719450,11,Alive,Good,Japanese zelkova,South Jamaica,Large (18-24in)
140260,9,Alive,Good,ginkgo,Morningside Heights,Medium-Large (10-18in)
5263,7,Alive,Good,Sophora,West Concourse,Medium-Large (10-18in)
87449,3,Alive,Poor,littleleaf linden,Jackson Heights,Medium (3-10in)
505097,8,Alive,Fair,Callery pear,Annadale-Huguenot-Prince's Bay-Eltingville,Medium-Large (10-18in)
484826,41,Alive,Good,London planetree,Westerleigh,
245277,17,Alive,Fair,pin oak,Forest Hills,Large (18-24in)
688641,12,Alive,Good,silver linden,Oakland Gardens,Large (18-24in)
134104,13,Alive,Fair,Norway maple,10,Large (18-24in)
37317,4,Alive,Good,flowering dogwood,Seagate-Coney Island,Medium-Large (10-18in)
527905,11,Alive,Good,Callery pear,Annadale-Huguenot-Prince's Bay-Eltingville,Large (18-24in)
37596,14,Alive,Good,red maple,QN20,Large (18-24in)
419925,10,Alive,Good,honeylocust,Seagate-Coney Island,Medium-Large (10-18in)
299852,4,Dead,,,Washington Heights North,Medium-Large (10-18in)
595725,6,Alive,Fair,cherry,Bellerose,Medium-Large (10-18in)
108398,16,Alive,Good,cherry,BK75,Large (18-24in)
61002,6,Alive,Good,Callery pear,Spuyten Duyvil-Kingsbridge,Medium-Large (10-18in)
493682,19,Alive,Fair,maple,New Springville-Bloomfield-Travis,Very large (>24in)
113095,8,Alive,Good,crimson king maple,Charleston-Richmond Valley-Tottenville,Medium-Large (10-18in)
50129,25,Alive,Good,pin oak,Pomonok-Flushing Heights-Hillcrest,
6183,16,Alive,Good,London planetree,West New Brighton-New Brighton-St. George,Large (18-24in)
150288,7,Alive,Fair,Chinese elm,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Medium-Large (10-18in)
46900,7,Alive,Good,white pine,Jamaica Estates-Holliswood,Medium-Large (10-18in)
568051,7,Alive,Good,pin oak,Bensonhurst West,Medium-Large (10-18in)
515394,5,Alive,Good,sweetgum,Annadale-Huguenot-Prince's Bay-Eltingville,Medium-Large (10-18in)
578096,12,Alive,Good,littleleaf linden,Springfield Gardens North,Large (18-24in)
127867,5,Alive,Fair,bur oak,Bedford,Medium-Large (10-18in)
592522,12,Alive,Good,honeylocust,19,Large (18-24in)
523085,5,Alive,Good,Japanese zelkova,Glendale,Medium-Large (10-18in)
577152,14,Alive,Good,maple,15,Large (18-24in)
577842,22,Alive,Good,London planetree,New Dorp-Midland Beach,Very large (>24in)
549583,3,Alive,Good,false cypress,Crown Heights North,Medium (3-10in)
290210,13,Alive,Good,Callery pear,Upper East Side-Carnegie Hill,Large (18-24in)
569138,2,Alive,Good,serviceberry,Clinton Hill,Medium (3-10in)
721061,4,Alive,Good,honeylocust,Baisley Park,Medium-Large (10-18in)
598607,25,Alive,Good,London planetree,Flushing,
566905,14,Alive,Good,silver linden,Cambria Heights,Large (18-24in)
399862,5,Alive,Poor,crimson king maple,Annadale-Huguenot-Prince's Bay-Eltingville,Medium-Large (10-18in)
219718,9,Alive,Good,purple-leaf plum,Murray Hill,Medium-Large (10-18in)
264111,9,Alive,Good,Callery pear,West Village,Medium-Large (10-18in)
73909,0,Stump,,,St. Albans,Small (0-3in)
299537,16,Alive,Good,ginkgo,Schuylerville-Throgs Neck-Edgewater Park,Large (18-24in)
306739,3,Alive,Poor,London planetree,Hammels-Arverne-Edgemere,Medium (3-10in)
266535,11,Alive,Good,pin oak,East Harlem North,Large (18-24in)
490268,7,Alive,Good,pin oak,Belmont,Medium-Large (10-18in)
257885,10,Alive,Good,Japanese zelkova,Bay Ridge,Medium-Large (10-18in)
657160,17,Alive,Good,honeylocust,Georgetown-Marine Park-Bergen Beach-Mill Basin,Large (18-24in)
525060,10,Alive,Good,shingle oak,West Village,Medium-Large (10-18in)
129067,15,Alive,Fair,northern red oak,Bedford,Large (18-24in)
312192,15,Alive,Good,Norway maple,Queens Village,Large (18-24in)
9074,11,Alive,Good,willow oak,Parkchester,Large (18-24in)
261869,20,Alive,Good,London planetree,Park Slope-Gowanus,Very large (>24in)
680892,2,Alive,Good,pin oak,Kew Gardens Hills,Medium (3-10in)
83888,3,Alive,Fair,Schumard's oak,Mariner's Harbor-Arlington-Port Ivory-Graniteville,Medium (3-10in)
502304,9,Alive,Good,ginkgo,Midtown-Midtown South,Medium-Large (10-18in)
646476,14,Alive,Good,honeylocust,Woodhaven,Large (18-24in)
717154,3,Alive,Good,Sophora,Briarwood-Jamaica Hills,Medium (3-10in)
5628,19,Alive,Good,pin oak,East Concourse-Concourse Village,Very large (>24in)
61849,2,Alive,Good,Amur maackia,Rego Park,Medium (3-10in)
231036,9,Alive,Good,honeylocust,Bellerose,Medium-Large (10-18in)
367765,5,Alive,Good,crimson king maple,Rossville-Woodrow,Medium-Large (10-18in)
632823,18,Alive,Good,Japanese zelkova,South Ozone Park,Large (18-24in)
654724,12,Alive,Fair,crimson king maple,Jamaica Estates-Holliswood,Large (18-24in)
408761,11,Alive,Good,ginkgo,BX44,Large (18-24in)
632716,15,Alive,Fair,Sophora,South Ozone Park,Large (18-24in)
590544,12,Alive,Good,northern red oak,Glen Oaks-Floral Park-New Hyde Park,Large (18-24in)
68758,26,Alive,Good,Norway maple,Park Slope-Gowanus,
31129,30,Alive,Good,littleleaf linden,Grasmere-Arrochar-Ft. Wadsworth,
403490,5,Alive,Good,London planetree,Stapleton-Rosebank,Medium-Large (10-18in)
52397,13,Alive,Good,sawtooth oak,New Springville-Bloomfield-Travis,Large (18-24in)
232216,10,Alive,Fair,Sophora,66,Medium-Large (10-18in)
412776,3,Alive,Good,silver linden,Hammels-Arverne-Edgemere,Medium (3-10in)
272633,16,Alive,Good,Norway maple,Glen Oaks-Floral Park-New Hyde Park,Large (18-24in)
179596,19,Alive,Good,London planetree,Chinatown,Very large (>24in)
552297,4,Alive,Fair,littleleaf linden,Flushing,Medium-Large (10-18in)
585434,4,Alive,Good,Japanese zelkova,Oakwood-Oakwood Beach,Medium-Large (10-18in)
697798,29,Alive,Poor,silver maple,Murray Hill,
656682,7,Alive,Good,cherry,Middle Village,Medium-Large (10-18in)
378552,5,Alive,Good,hawthorn,Madison,Medium-Large (10-18in)
574823,8,Alive,Good,littleleaf linden,St. Albans,Medium-Large (10-18in)
194137,8,Alive,Good,honeylocust,Upper West Side,Medium-Large (10-18in)
692787,20,Alive,Good,Norway maple,Queensboro Hill,Very large (>24in)
539724,0,Stump,,,Todt Hill-Emerson Hill-Heartland Village-Lighthous,Small (0-3in)
552765,4,Dead,,,Bushwick South,Medium-Large (10-18in)
331088,20,Alive,Poor,sugar maple,Queensboro Hill,Very large (>24in)
627742,23,Alive,Good,London planetree,South Ozone Park,Very large (>24in)
137509,13,Alive,Fair,Sophora,Cambria Heights,Large (18-24in)
721538,0,Stump,,,South Ozone Park,Small (0-3in)
616796,36,Alive,Good,London planetree,Forest Hills,
476390,19,Alive,Good,black locust,Washington Heights North,Very large (>24in)
224914,28,Alive,Good,London planetree,Jackson Heights,
152185,3,Dead,,,Breezy Point-Belle Harbor-Rockaway Park-Broad Chan,Medium (3-10in)
535502,12,Alive,Fair,Callery pear,QN21,Large (18-24in)
424435,8,Alive,Good,Callery pear,Baisley Park,Medium-Large (10-18in)
650103,7,Alive,Good,pin oak,Woodhaven,Medium-Large (10-18in)
342139,26,Alive,Good,sweetgum,Westerleigh,
224661,8,Alive,Good,honeylocust,Mott Haven-Port Morris,Medium-Large (10-18in)
83589,25,Alive,Good,London planetree,QN38,
356710,7,Alive,Good,Callery pear,Charleston-Richmond Valley-Tottenville,Medium-Large (10-18in)
26937,3,Alive,Good,ginkgo,Crown Heights South,Medium (3-10in)
648111,7,Alive,Good,European hornbeam,Bayside-Bayside Hills,Medium-Large (10-18in)
108134,12,Alive,Good,Sophora,Ridgewood,Large (18-24in)
197034,30,Alive,Good,London planetree,Auburndale,
578308,18,Alive,Good,honeylocust,QN02,Large (18-24in)
75975,8,Alive,Fair,Callery pear,MN09,Medium-Large (10-18in)
